EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,ADDRESS
198,Donald,OConnell,DOCONNEL,650.507.9833,2007-06-21,SH_CLERK,2600,0.05,124,50,"123 Elm St, Springfield, IL 62701"
199,Douglas,Grant,DGRANT,650.507.9844,2008-01-13,SH_CLERK,2600,0.1,124,50,"456 Oak Ave, Springfield, IL 62701"
200,Jennifer,Whalen,JWHALEN,515.123.4444,2003-09-17,AD_ASST,4400,,101,10,"789 Pine Rd, Chicago, IL 60601"
201,Michael,Hartstein,MHARTSTE,515.123.5555,2004-02-17,MK_MAN,13000,0.15,100,20,"102 Maple Dr, Evanston, IL 60201"
202,Pat,Fay,PFAY,603.123.6666,2005-08-17,MK_REP,6000,0.05,201,20,"321 Birch Blvd, Aurora, IL 60506"
203,Susan,Mavris,SMAVRIS,515.123.7777,2002-06-07,HR_REP,6500,,101,40,"234 Cedar Ln, Naperville, IL 60540"
204,Hermann,Baer,HBAER,515.123.8888,2002-06-07,PR_REP,10000,0.12,101,70,"567 Willow Ct, Schaumburg, IL 60194"
205,Shelley,Higgins,SHIGGINS,515.123.8080,2002-06-07,AC_MGR,12008,,101,110,"890 Elmwood Dr, Oak Park, IL 60302"
206,William,Gietz,WGIETZ,515.123.8181,2002-06-07,AC_ACCOUNT,8300,0.1,205,110,"321 Maple St, Hinsdale, IL 60521"
100,Steven,King,SKING,515.123.4567,2003-06-17,AD_PRES,24000,0.2,,90,"123 King St, Highland Park, IL 60035"
101,Neena,Kochhar,NKOCHHAR,515.123.4568,2005-09-21,AD_VP,17000,0.1,100,90,"654 Queen Ave, Skokie, IL 60077"
102,Lex,De Haan,LDEHAAN,515.123.4569,2001-01-13,AD_VP,17000,0.12,100,90,"765 King Rd, Glenview, IL 60025"
103,Alexander,Hunold,AHUNOLD,590.423.4567,2006-01-03,IT_PROG,9000,,102,60,"432 Oakwood Ln, Elmhurst, IL 60126"
104,Bruce,Ernst,BERNST,590.423.4568,2007-05-21,IT_PROG,6000,0.08,103,60,"876 Birch St, Libertyville, IL 60048"
105,David,Austin,DAUSTIN,590.423.4569,2005-06-25,IT_PROG,4800,,103,60,"321 Ash Dr, Glenview, IL 60026"
106,Valli,Pataballa,VPATABAL,590.423.4560,2006-02-05,IT_PROG,4800,0.05,103,60,"234 Redwood St, Park Ridge, IL 60068"
107,Diana,Lorentz,DLORENTZ,590.423.5567,2007-02-07,IT_PROG,4200,,103,60,"567 Pinewood Ave, Schaumburg, IL 60194"
108,Nancy,Greenberg,NGREENBE,515.124.4569,2002-08-17,FI_MGR,12008,,101,100,"123 Park Blvd, Naperville, IL 60540"
109,Daniel,Faviet,DFAVIET,515.124.4169,2002-08-16,FI_ACCOUNT,9000,0.07,108,100,"876 Oak Dr, Des Plaines, IL 60016"
110,John,Chen,JCHEN,515.124.4269,2005-09-28,FI_ACCOUNT,8200,,108,100,"234 Greenfield Ln, Wheaton, IL 60189"
111,Ismael,Sciarra,ISCIARRA,515.124.4369,2005-09-30,FI_ACCOUNT,7700,0.05,108,100,"543 Willow Rd, Aurora, IL 60505"
112,Jose Manuel,Urman,JMURMAN,515.124.4469,2006-03-07,FI_ACCOUNT,7800,,108,100,"987 Oakwood Ave, Oak Park, IL 60302"
113,Luis,Popp,LPOPP,515.124.4567,2007-12-07,FI_ACCOUNT,6900,0.1,108,100,"876 Pine St, Skokie, IL 60077"
114,Den,Raphaely,DRAPHEAL,515.127.4561,2002-12-07,PU_MAN,11000,0.2,100,30,"432 Maple St, Arlington Heights, IL 60004"
115,Alexander,Khoo,AKHOO,515.127.4562,2003-05-18,PU_CLERK,3100,,114,30,"654 Cedar Ln, Schaumburg, IL 60194"
116,Shelli,Baida,SBAIDA,515.127.4563,2005-12-24,PU_CLERK,2900,,114,30,"321 Maple Dr, Hoffman Estates, IL 60169"
117,Sigal,Tobias,STOBIAS,515.127.4564,2005-07-24,PU_CLERK,2800,0.05,114,30,"876 Pinewood Ave, Oak Brook, IL 60523"
118,Guy,Himuro,GHIMURO,515.127.4565,2006-11-15,PU_CLERK,2600,,114,30,"543 Birch St, Elmhurst, IL 60126"
